Material;Material Description;Batch;SLoc;Unrestr.;SLED/BBD;
TPM004C;REPLY 200 SR CLASSIC;728BW1CF;Lager Wien;1;29.06.2020;
TPM004C;REPLY 200 SR CLASSIC;827BW5B1;Lager Wien;1;29.06.2020;
TPM004C;REPLY 200 SR CLASSIC;841BW446;Lager Wien;1;29.06.2020;
TPM007C;KORA 100 SR STD;906BZ708;Lager Wien;1;13.03.2021;
TPM007C;KORA 100 SR STD;906BZ764;Lager Wien;1;13.03.2021;
TPM007C;KORA 100 SR STD;906BZ795;Lager Wien;1;13.03.2021;
TPM007C;KORA 100 SR STD;906BZ7EE;Lager Wien;1;13.03.2021;
TPM007C;KORA 100 SR STD;907BZ029;Lager Wien;1;13.03.2021;
TPM010C;KORA 250 DR Classic;916BE551;Lager Wien;1;26.06.2021;
TPM010C;KORA 250 DR Classic;916BE55F;Lager Wien;1;26.06.2021;
TPM010C;KORA 250 DR Classic;817BE4E5;Gerald;1;05.06.2020;
TPM010C;KORA 250 DR Classic;913BE03B;Gerald;1;21.05.2021;
TPM011C;REPLY CRT-P;515BD027;Lager Wien;1;09.12.2020;FRM, 19.10.2019
TPM013C;KORA 250 SR Classic;916BF248;Lager Wien;1;02.07.2021;
TPM013C;KORA 250 SR Classic;919BF13A;Lager Wien;1;02.07.2021;
TPM013C;KORA 250 SR Classic;826BF3CB;Gerald;1;24.02.2020;
TPM014C;ENO DR Classic;924CR227;Lager Wien;1;27.08.2021;
TPM014C;ENO DR Classic;924CR2D8;Lager Wien;1;27.08.2021;
TPM014C;ENO DR Classic;924CR2EA;Lager Wien;1;27.08.2021;
TPM014C;ENO DR Classic;924CR395;Lager Wien;1;27.08.2021;
TPM014C;ENO DR Classic;924CR39F;Lager Wien;1;27.08.2021;
TPM014C;ENO DR Classic;925CR018;Lager Wien;1;27.08.2021;
TPM014C;ENO DR Classic;925CR022;Lager Wien;1;27.08.2021;
TPM014C;ENO DR Classic;925CR026;Lager Wien;1;27.08.2021;
TPM014C;ENO DR Classic;920CR46E;Reinhard;1;25.07.2021;
TPM014C;ENO DR Classic;923CR074;Reinhard;1;22.07.2021;
TPM014C;ENO DR Classic;923CR2B8;Reinhard;1;25.07.2021;
TPM014C;ENO DR Classic;923CR569;Reinhard;1;25.07.2021;
TPM015C;ENO SR Classic;910CU481;Lager Wien;1;07.05.2021;
TPM015C;ENO SR Classic;910CU532;Lager Wien;1;07.05.2021;
TPM015C;ENO SR Classic;923CU021;Lager Wien;1;30.07.2021;
TPM015C;ENO SR Classic;923CU033;Lager Wien;1;30.07.2021;
TPM015C;ENO SR Classic;839CU549;Reinhard;1;14.11.2020;
TPM015C;ENO SR Classic;839CU60F;Reinhard;1;14.11.2020;
TPM015C;ENO SR Classic;904CU08A;Reinhard;1;25.02.2021;
TPM016C;TEO DR Classic;847CS352;Lager Wien;1;16.01.2021;
TPM016C;TEO DR Classic;847CS356;Lager Wien;1;16.01.2021;
TPM016C;TEO DR Classic;847CS414;Lager Wien;1;16.01.2021;
TPM016C;TEO DR Classic;917CS043;Lager Wien;1;03.07.2021;
TPM016C;TEO DR Classic;917CS12C;Lager Wien;1;03.07.2021;
TPM016C;TEO DR Classic;917CS136;Lager Wien;1;03.07.2021;
TPM016C;TEO DR Classic;917CS33A;Lager Wien;1;03.07.2021;
TPM016C;TEO DR Classic;917CS3D5;Lager Wien;1;03.07.2021;
TPM016C;TEO DR Classic;918CS272;Lager Wien;1;03.07.2021;
TPM016C;TEO DR Classic;920CS078;Lager Wien;1;03.07.2021;
TPM016C;TEO DR Classic;920CS0C9;Lager Wien;1;03.07.2021;
TPM016C;TEO DR Classic;920CS2A6;Lager Wien;1;03.07.2021;
VP52Y;Vein Lifter (50);DP-07821;Lager Wien;1;01.06.2021;
